MaterialId,Price,CanModifyPrice,CanBeSold,OrderQuantityMin,OrderQuantityMax,BatchIncrement,PricingMode,GoodsCategoryId,GoodsType,UseStatus,WeightedAveragePrice,IsPurchaseRequest,MaterialPropertiesId,CanModifySpec,CanModifyColor,FinanceSubjectId,StockUpType,StockUpperLimit,StockLowerLimit,SafetyStock,IsShelfLife,ShelfLifeDays,PackingNum,ProduceBaseNum,StockUpWareHouse,ReplenishType,IsBZ,PickingNumber,PickingCode,IncomeFinanceSubjectId,CostFinanceSubjectId,StockFinanceSubjectId,Remark,PVCCode,ProcessPickingNumber,ProcessCode,OldPrice,GroovingNumber,LinellaePickingNumber,LinellaeCode,SecondPackingNum,CurrentStock,UnAuditingPrice,PriceChangeWhys,PriceAuditType,GroupIndex,Sequence,ExcludeColorCheck,ImportFrom2020,IsWood,MaterialType,RawMaterialType
32137,30.00,0,1,,,,1,390,1,4,,0,1,0,0,,1,100.00,50.00,30.00,0,,1,,1,4,1,,,5,13,40,,,7.00,DNP/903,,,,,1.00,96.00,,,,,,0,1,0,,
32138,20.00,0,0,,,,1,257,1,2,,0,1,0,0,,1,1.00,1.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32139,63.00,0,0,,,,1,310,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32140,210.00,0,0,,,,1,310,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,,,,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32141,300.00,0,0,,,,1,355,1,2,,0,1,0,0,,1,1.00,1.00,0.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32142,300.00,0,1,,,,1,355,1,4,,0,1,0,0,,3,160.00,80.00,50.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,53.00,,,,,,0,1,0,,
32143,300.00,0,1,,,,1,355,1,4,,0,1,0,0,,3,400.00,280.00,180.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,172.00,,,,,,0,1,0,,
32144,280.00,0,0,,,,1,355,1,2,,0,1,0,0,,3,1.00,1.00,0.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32145,280.00,0,1,,,,1,355,1,4,,0,1,0,0,,3,70.00,35.00,25.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,38.00,,,,,,0,1,0,,
32146,280.00,0,1,,,,1,355,1,4,,0,1,0,0,,3,160.00,80.00,50.00,0,,1,,1,4,0,,,5,13,40,,,,,,,,,,85.00,,,,,,0,1,0,,
32147,408.00,0,0,,,,1,137,1,4,,0,1,0,0,,1,1.00,1.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,380.00,,,,,,,,,,,0,1,0,,
32148,704.00,0,0,40,,40,1,244,1,4,,0,1,0,0,,1,70.00,40.00,25.00,0,,1,1.00,1,4,1,1.00,,5,13,40,,MA-18/201,,,,,,,,48.00,,,,,,0,1,0,,
32149,580.00,0,0,40,,40,1,244,1,4,,0,1,0,0,,1,400.00,200.00,130.00,0,,1,1.00,1,4,1,1.00,,5,13,40,,MA-18/903,,,,,,,,128.00,,,,,,0,1,0,,
32150,350.00,0,0,40,,40,1,244,1,2,,0,1,0,0,,1,30.00,20.00,10.00,0,,1,1.00,1,4,1,2.00,,5,13,40,,MA-18/201,,,,,,,,22.00,,,,,,0,1,0,,
32151,290.00,0,0,40,,40,1,244,1,4,,0,1,0,0,,1,80.00,50.00,30.00,0,,1,1.00,1,4,1,2.00,,5,13,40,,MA-18/903,,,,,,,,53.00,,,,,,0,1,0,,
32152,364.00,0,0,,,,1,249,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.50,,5,13,40,,MA-18/201,,,,,,,,,,,,,,0,1,0,,
32153,302.00,0,0,,,,1,249,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,1,1.50,,5,13,40,,ML-18/218,,,,,,,,,,,,,,0,1,0,,
32154,302.00,0,0,,,,1,249,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,1,1.50,,5,13,40,,MX-18/536,,,,,,,,0.00,,,,,,0,1,0,,
32155,302.00,0,0,,,,1,249,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,1,1.50,,5,13,40,,ML-18/716,,,,,,,,,,,,,,0,1,0,,
32156,302.00,0,0,,,,1,249,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.50,,5,13,40,,MA-18/903,,,242.00,,,,,,,,,,,0,1,0,,
32157,302.00,0,0,,,,1,249,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,1,1.50,,5,13,40,,MX-18/990,,,,,,,,0.00,,,,,,0,1,0,,
32158,238.00,0,0,,,,1,283,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32159,198.00,0,0,,,,1,283,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32160,182.00,0,0,,,,1,249,1,2,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,3.00,,5,13,40,,MA-18/201,,,,,,,,,,,,,,0,1,0,,
32161,151.00,0,0,,,,1,249,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,1,3.00,,5,13,40,,ML-18/218,,,,,,,,,,,,,,0,1,0,,
32162,151.00,0,0,,,,1,249,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,1,3.00,,5,13,40,,MX-18/536,,,,,,,,,,,,,,0,1,0,,
32163,151.00,0,0,,,,1,249,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,1,3.00,,5,13,40,,ML-18/716,,,,,,,,0.00,,,,,,0,1,0,,
32164,151.00,0,0,,,,1,249,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,1,3.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32165,151.00,0,0,,,,1,249,1,2,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,1,3.00,,5,13,40,,MX-18/990,,,,,,,,,,,,,,0,1,0,,
32166,0.00,0,0,,,,1,398,3,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,28,,,,,,,,,,,,,,,,0,1,0,,
32167,0.00,0,0,,,,1,397,1,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32168,,0,0,,,,1,398,3,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,5,,,0.00,0,10,18,28,,,,,,,,,,,,,,,,0,1,0,,
32169,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32170,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32171,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32173,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32175,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32176,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32177,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32178,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32179,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32180,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32183,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32184,0.00,0,0,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32185,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32186,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32187,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32188,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32189,0.00,0,1,,,,1,256,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32190,0.00,0,1,,,,1,256,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32191,0.00,0,1,,,,1,256,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32192,0.00,0,1,,,,1,256,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32193,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32194,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32196,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32197,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32198,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32199,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32200,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32201,267.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32202,213.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32204,213.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32205,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32206,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32207,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32208,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32209,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32210,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32211,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32212,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32213,246.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32214,246.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32216,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32217,0.00,0,0,,,,1,215,4,2,0.00,1,2,0,0,,3,0.00,0.00,0.00,0,0,1,,5,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32218,0.00,0,1,,,,1,397,2,4,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32219,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32220,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32221,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32222,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32223,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32224,0.00,0,0,,,,1,397,2,2,0.00,0,2,0,0,,3,0.00,0.00,0.00,0,,1,,11,,,0.00,0,10,18,26,,,,,,,,,,,,,,,,0,1,0,,
32225,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32226,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32227,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32228,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32229,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32230,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32231,308.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32232,246.00,0,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32233,246.00,0,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32234,385.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/201,,,,,,,,,,,3,,,0,1,0,,
32235,385.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MT-18/206,,,,,,,,,,,3,,,0,1,0,,
32236,320.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/218,,,,,,,,,,,3,,,0,1,0,,
32237,320.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/536,,,,,,,,,,,3,,,0,1,0,,
32238,320.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/716,,,,,,,,,,,3,,,0,1,0,,
32239,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32240,320.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/960,,,,,,,,,,,3,,,0,1,0,,
32241,320.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/990,,,,,,,,,,,3,,,0,1,0,,
32242,256.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SMX-18/536,,,,,,,,,,,3,,,0,1,0,,
32243,256.00,1,0,,,,1,251,1,4,,0,1,1,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SML-18/716,,,,,,,,,,,3,,,0,1,0,,
32244,444.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/201,,,,,,,,,,,3,,,0,1,0,,
32245,444.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MT-18/206,,,,,,,,,,,3,,,0,1,0,,
32246,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/218,,,,,,,,,,,3,,,0,1,0,,
32247,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/536,,,,,,,,,,,3,,,0,1,0,,
32248,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/716,,,,,,,,,,,3,,,0,1,0,,
32249,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32250,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/960,,,,,,,,,,,3,,,0,1,0,,
32251,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/990,,,,,,,,,,,3,,,0,1,0,,
32252,295.00,0,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SMX-18/536,,,,,,,,,,,3,,,0,1,0,,
32253,295.00,0,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SML-18/716,,,,,,,,,,,3,,,0,1,0,,
32254,444.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/201,,,,,,,,,,,3,,,0,1,0,,
32255,444.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MT-18/206,,,,,,,,,,,3,,,0,1,0,,
32256,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/218,,,,,,,,,,,3,,,0,1,0,,
32257,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/536,,,,,,,,,,,3,,,0,1,0,,
32258,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/716,,,,,,,,,,,3,,,0,1,0,,
32259,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32260,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,ML-18/960,,,,,,,,,,,3,,,0,1,0,,
32261,370.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MX-18/990,,,,,,,,,,,3,,,0,1,0,,
32262,295.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SMX-18/536,,,,,,,,,,,3,,,0,1,0,,
32263,295.00,1,0,,,,1,252,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,SML-18/716,,,,,,,,,,,3,,,0,1,0,,
32264,670.00,0,1,,,,1,232,1,4,,0,1,0,0,,3,55.00,30.00,20.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,18.00,,,,,,0,1,0,,
32265,450.00,0,1,,,,1,232,1,4,,0,1,0,0,,3,55.00,30.00,20.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,16.00,,,,,,0,1,0,,
32266,180.00,0,1,,,,1,232,1,4,,0,1,0,0,,3,55.00,30.00,20.00,0,,1,,1,4,,,,5,13,40,,,,,,,,,,9.00,,,,,,0,1,0,,
32267,76.00,0,0,,,,1,142,1,4,,0,1,0,0,,1,50.00,30.00,0.00,0,,1,,,,1,0.00,,5,13,40,,,,,,,,,,,,,3,,,0,1,0,,
32268,,0,0,,,,1,142,1,4,,0,1,0,0,,1,50.00,30.00,0.00,0,,1,,,,1,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32269,,0,0,,,,1,142,1,4,,0,1,0,0,,1,50.00,30.00,0.00,0,,1,,,4,1,0.00,,5,13,40,,,,,,,,,,,,,,,,0,1,0,,
32270,517.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,MA-18/201,,,,,,,,,,,3,,,0,1,0,,
32271,517.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,MT-18/206,,,,,,,,,,,3,,,0,1,0,,
32272,430.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,ML-18/218,,,,,,,,,,,3,,,0,1,0,,
32273,430.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,MX-18/536,,,,,,,,,,,3,,,0,1,0,,
32274,430.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,ML-18/716,,,,,,,,,,,3,,,0,1,0,,
32275,434.00,1,1,,,,1,253,1,4,,0,1,0,0,,3,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32276,430.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,ML-18/960,,,,,,,,,,,3,,,0,1,0,,
32277,430.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,MX-18/990,,,,,,,,,,,3,,,0,1,0,,
32278,343.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,SMX-18/536,,,,,,,,,,,3,,,0,1,0,,
32279,343.00,1,0,,,,1,253,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,20,4,,1.00,,5,13,40,,SML-18/716,,,,,,,,,,,3,,,0,1,0,,
32280,385.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/201,,,,,,,,,,,3,,,0,1,0,,
32281,385.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,MT-18/206,,,,,,,,,,,3,,,0,1,0,,
32282,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,ML-18/218,,,,,,,,,,,3,,,0,1,0,,
32283,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,MX-18/536,,,,,,,,,,,3,,,0,1,0,,
32284,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,ML-18/716,,,,,,,,,,,3,,,0,1,0,,
32285,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,1,4,,1.00,,5,13,40,,MA-18/903,,,,,,,,,,,,,,0,1,0,,
32286,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,ML-18/960,,,,,,,,,,,3,,,0,1,0,,
32287,320.00,1,0,,,,1,251,1,4,,0,1,0,0,,1,0.00,0.00,0.00,0,,1,,,4,,1.00,,5,13,40,,MX-18/990,,,,,,,,,,,3,,,0,1,0,,
